날짜,지점,강수량(mm),
2017-01-01,108,0.6,0.6
2017-01-02,108,,
2017-01-03,108,,
2017-01-04,108,,
2017-01-05,108,,
2017-01-06,108,,
2017-01-07,108,0,0
2017-01-08,108,0.2,0.2
2017-01-09,108,0,0
2017-01-10,108,,
2017-01-11,108,1.9,1.9
2017-01-12,108,0.4,0.4
2017-01-13,108,,
2017-01-14,108,,
2017-01-15,108,,
2017-01-16,108,,
2017-01-17,108,0,0
2017-01-18,108,,
2017-01-19,108,3.9,3.9
2017-01-20,108,1.8,1.8
2017-01-21,108,0.1,0.1
2017-01-22,108,,
2017-01-23,108,,
2017-01-24,108,,
2017-01-25,108,0,0
2017-01-26,108,3.5,3.5
2017-01-27,108,,
2017-01-28,108,7,7
2017-01-29,108,0,0
2017-01-30,108,,
2017-01-31,108,,
2017-02-01,108,,
2017-02-02,108,,
2017-02-03,108,,
2017-02-04,108,1.3,1.3
2017-02-05,108,,
2017-02-06,108,,
2017-02-07,108,,
2017-02-08,108,0,0
2017-02-09,108,0,0
2017-02-10,108,,
2017-02-11,108,,
2017-02-12,108,1,1
2017-02-13,108,,
2017-02-14,108,,
2017-02-15,108,0.3,0.3
2017-02-16,108,4,4
2017-02-17,108,,
2017-02-18,108,4.6,4.6
2017-02-19,108,2.2,2.2
2017-02-20,108,,
2017-02-21,108,9.1,9.1
2017-02-22,108,,
2017-02-23,108,,
2017-02-24,108,,
2017-02-25,108,,
2017-02-26,108,,
2017-02-27,108,,
2017-02-28,108,6.2,6.2
2017-03-01,108,0.3,0.3
2017-03-02,108,,
2017-03-03,108,,
2017-03-04,108,1.3,1.3
2017-03-05,108,,
2017-03-06,108,,
2017-03-07,108,0,0
2017-03-08,108,,
2017-03-09,108,,
2017-03-10,108,,
2017-03-11,108,,
2017-03-12,108,,
2017-03-13,108,,
2017-03-14,108,,
2017-03-15,108,,
2017-03-16,108,,
2017-03-17,108,,
2017-03-18,108,,
2017-03-19,108,,
2017-03-20,108,,
2017-03-21,108,,
2017-03-22,108,,
2017-03-23,108,,
2017-03-24,108,,
2017-03-25,108,,
2017-03-26,108,0,0
2017-03-27,108,,
2017-03-28,108,,
2017-03-29,108,,
2017-03-30,108,1.2,1.2
2017-03-31,108,1,1
2017-04-01,108,,
2017-04-02,108,,
2017-04-03,108,,
2017-04-04,108,33.8,33.8
2017-04-05,108,1.2,1.2
2017-04-06,108,,
2017-04-07,108,0.1,0.1
2017-04-08,108,0.6,0.6
2017-04-09,108,,
2017-04-10,108,0,0
2017-04-11,108,,
2017-04-12,108,,
2017-04-13,108,0,0
2017-04-14,108,,
2017-04-15,108,,
2017-04-16,108,7.9,7.9
2017-04-17,108,7.9,7.9
2017-04-18,108,,
2017-04-19,108,0,0
2017-04-20,108,,
2017-04-21,108,,
2017-04-22,108,,
2017-04-23,108,,
2017-04-24,108,0,0
2017-04-25,108,0,0
2017-04-26,108,,
2017-04-27,108,,
2017-04-28,108,,
2017-04-29,108,,
2017-04-30,108,,
2017-05-01,108,,
2017-05-02,108,,
2017-05-03,108,0,0
2017-05-04,108,0,0
2017-05-05,108,,
2017-05-06,108,,
2017-05-07,108,,
2017-05-08,108,2.9,2.9
2017-05-09,108,4.6,4.6
2017-05-10,108,0.3,0.3
2017-05-11,108,0.2,0.2
2017-05-12,108,3.5,3.5
2017-05-13,108,,
2017-05-14,108,,
2017-05-15,108,,
2017-05-16,108,,
2017-05-17,108,,
2017-05-18,108,,
2017-05-19,108,,
2017-05-20,108,,
2017-05-21,108,,
